태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,제공기관코드,제공기관명
운산리영규태양광,,전북특별자치도 진안군 진안읍 운산리 122-2,,,,정상가동,99.19,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가림태양광발전소3,,"전북특별자치도 진안군 진안읍 가림리 431, 432",,,,정상가동,99.9,380,60,2021,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
드림이삭태양광발전소,경기도 군포시 군포첨단산업1로 15(부곡동),경기도 군포시 부곡동 1234-4,37.32549331,126.9378633,옥외,정상가동,96,380,60,2021,발전사업용,2021-09-01,경기도 군포시,670,2026-05-08,4020000,경기도 군포시
가족2호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 1720,,,,정상가동,99.45,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가족1호태양광발전소,,전북특별자치도 진안군 진안읍 반월리 1720,,,,정상가동,99.45,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
정원태양광발전소,,전북특별자치도 진안군 마령면 계서리 412-7 건물상부,,,,정상가동,19.72,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
민중2호태양광,,전북특별자치도 진안군 주천면 주양리 458-8 건물상부,,,,정상가동,15,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
민중태양광발전소,,전북특별자치도 진안군 주천면 주양리 490-1 건물상부,,,,정상가동,29.12,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
형우태양광발전소,,"전북특별자치도 진안군 진안읍 반월리 1696, 1697",,,,정상가동,99.45,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
가족태양광발전소,,전북특별자치도 진안군 진안읍 반월리 1696,,,,정상가동,99.45,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
백두에너지2호,,전북특별자치도 진안군 마령면 계서리 587,,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
해바라기2호태양광발전소,,"전북특별자치도 진안군 마령면 계서리 586-2, 587",,,,정상가동,99.84,380,60,2022,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
박용배태양광발전소,경기도 군포시 한세로4번길 20(당정동),경기도 군포시 당정동 1008-9,37.3443722,126.9503389,옥외,정상가동,12,380,60,2021,발전사업용,2021-01-14,경기도 군포시,63,2026-05-08,4020000,경기도 군포시
지영태양광발전소,경기도 군포시 용호1로2번길31(당동),경기도 군포시 당동 966-7,37.3455444,126.9404872,옥외,정상가동,19.8,380,60,2021,발전사업용,2021-01-04,경기도 군포시,95.03,2026-05-08,4020000,경기도 군포시
㈜푸름케이디 태양광발전소,"경기도 군포시 공단로 148, 150(당정동)",경기도 군포시 당정동 1066-2,37.35821167,126.949970,옥외,정상가동,131.25,380,60,2020,발전사업용,2020-08-26,경기도 군포시,712,2026-05-08,4020000,경기도 군포시
군포시민햇빛발전소2호기,경기도 군포시 수리산로 112,경기도 군포시 산본동 1151-10,37.35921675,126.9194206,주차장,정상가동,99.9,380,60,2020,발전사업용,2019-12-18,경기도 군포시,515.5,2026-05-08,4020000,경기도 군포시
팩컴에이에이피㈜태양광발전소,경기도 군포시 농심로59번길 1(당정동),경기도 군포시 당정동 225-3,37.36316626,126.9551985,옥상,정상가동,99.6,380,60,2020,발전사업용,2019-10-02,경기도 군포시,530,2026-05-08,4020000,경기도 군포시
한우농장2호 태양광발전소,"충청북도 보은군 보은읍 남부로 4019-21, 축사",,36.4455086,127.7330099,,정상가동,99,380,60,2021,발전사업용,2020-08-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
한우농장3호 태양광발전소,"충청북도 보은군 보은읍 남부로 4019-21, 축사",,36.4455086,127.7330099,,정상가동,87.75,380,60,2021,발전사업용,2020-08-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
한우농장4호 태양광발전소,충청북도 보은군 탄부면 덕동매화길 232,,36.4409582,127.7596439,,정상가동,99,380,60,2022,발전사업용,2020-08-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
한우농장5호 태양광발전소,충청북도 보은군 탄부면 덕동매화길 232,,36.4409582,127.7596439,,정상가동,99,380,60,2022,발전사업용,2020-08-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
윤기1호 태양광발전소,"충청북도 보은군 마로면 소여길 231-8, 축사",,36.41994319,127.8588381,,정상가동,99.96,380,60,2020,발전사업용,2020-09-07,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
윤기2호 태양광발전소,"충청북도 보은군 마로면 소여길 231-8, 축사",,36.41994319,127.8588381,,정상가동,99.96,380,60,2020,발전사업용,2020-09-07,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
민준1 태양광발전소,,충청북도 보은군 마로면 소여리 461,36.42065345,127.8534988,,정상가동,99.96,380,60,2021,발전사업용,2020-09-07,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
민준2 태양광발전소,,충청북도 보은군 마로면 소여리 461,36.42065345,127.8534988,,정상가동,47.04,380,60,2021,발전사업용,2020-09-07,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
이재현3 태양광발전소,"충청북도 보은군 삼승면 삼승탄부로 285, 축사",,36.41180362,127.7562203,,정상가동,99.9,380,60,2021,발전사업용,2020-09-09,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
선우2호 태양광발전소,"충청북도 보은군 삼승면 둔덕수정로 17, 축사",,36.4366941,127.721045,,정상가동,31.5,380,60,2021,발전사업용,2020-09-09,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
탄금1호 태양광발전소,,"충청북도 보은군 삼승면 탄금리 228-1 ,228-2",36.40704011,127.7424839,,정상가동,98.4,380,60,2022,발전사업용,2020-09-24,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
단양4호 태양광 발전소,,"전북특별자치도 진안군 진안읍 단양리 151-1, 151-2",,,,정상가동,99.28,380,60,2018,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
해오름2호태양광발전소,,"전북특별자치도 진안군 부귀면 거석리 1121-9, 1121-10",,,,정상가동,99.28,380,60,2018,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
금성태양광발전소21호,,"전북특별자치도 진안군 부귀면 수항리 산101, 산100-1, 산102-1",,,,정상가동,991.4,380,60,2018,,,전북특별자치도,,2026-05-07,4731000,전북특별자치도 진안군
나눔라이프솔라1호태양광발전소,,전북특별자치도 진안군 진안읍 구룡리 21-2 건물상부,,,,정상가동,98.28,380,60,2018,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
㈜리버텍태양광발전소,,전북특별자치도 진안군 진안읍 연장리 1767 건물상부,,,,정상가동,149.76,380,60,2019,,,전북특별자치도,,2026-05-07,4731000,전북특별자치도 진안군
에너지로드제4태양광발전소,,전북특별자치도 진안군 부귀면 신정리 220-13,,,,정상가동,198.8,380,60,2019,,,전북특별자치도,,2026-05-07,4731000,전북특별자치도 진안군
단양3호 태양광 발전소,,"전북특별자치도 진안군 진안읍 단양리 150, 151-1, 151-2",,,,정상가동,99.28,380,60,2018,,,전북특별자치도 진안군,,2026-05-07,4731000,전북특별자치도 진안군
금성태양광발전소20호,,"전북특별자치도 진안군 부귀면 수항리 산100, 산100-1",,,,정상가동,991.4,380,60,2018,,,전북특별자치도,,2026-05-07,4731000,전북특별자치도 진안군
하늘사랑7호 태양광발전소,,충청북도 보은군 산외면 산대리 256-7,36.57200642,127.7088307,,정상가동,29.58,380,60,2021,발전사업용,2020-07-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
기수1호 태양광발전소,,"충청북도 보은군 수한면 율산리 180-1 ,182-4",36.49270499,127.6467434,,정상가동,99.51,380,60,2022,발전사업용,2020-07-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
또바기2호 태양광발전소,,"충청북도 보은군 수한면 율산리 180 ,182-1",36.49259812,127.6466769,,정상가동,99.51,380,60,2022,발전사업용,2020-07-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
성광에너지,"충청북도 보은군 마로면 갈평새터길 173, 버섯재배사",,36.45349756,127.8435782,,정상가동,99.6,380,60,2020,발전사업용,2020-08-11,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
호태에너지,"충청북도 보은군 마로면 갈평새터길 171, 버섯재배사",,36.45324429,127.8434327,,정상가동,99.6,380,60,2020,발전사업용,2020-08-11,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
선경에너지,"충청북도 보은군 마로면 갈평새터길 167, 버섯재배사",,36.45302595,127.8433552,,정상가동,99.6,380,60,2020,발전사업용,2020-08-11,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
현지4 태양광발전소,"충청북도 보은군 마로면 갈평새터길 165, 버섯재배사",,36.45278934,127.8431731,,정상가동,99.6,380,60,2020,발전사업용,2020-08-11,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
하늘사랑3호 태양광발전소,,충청북도 보은군 산외면 산대리 256-7,36.57200642,127.7088307,,정상가동,99.19,380,60,2021,발전사업용,2020-07-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
하늘사랑5호 태양광발전소,,충청북도 보은군 산외면 산대리 256-7,36.57200642,127.7088307,,정상가동,99.19,380,60,2021,발전사업용,2020-07-27,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
관기 태양광발전소,"충청북도 보은군 마로면 관기송현로 75, 판매점",,36.4359507,127.8175837,,정상가동,65.25,380,60,2021,발전사업용,2020-08-11,충청북도 보은군,,2026-05-07,4420000,충청북도 보은군
